,community_id,community_name,total_pop,pop_18_34,pct_18_34,asian_pop,pct_asian,total_households,high_income_households,high_income_share,crime_count,violent_crime_count,total_cta_rides,avg_cta_rides,num_cta_stations,num_divvy_stations,total_docks,avg_docks_per_station,pct_18_34_z,pct_asian_z,high_income_share_z,total_cta_rides_z,num_divvy_stations_z,crime_count_z,final_score,competition_score_x,final_score_adj,competition_score_y,num_competitors,final_score_white_space
46,47,BURNSIDE,2229,291,0.13055181695827725,0,0.0,440,232,0.5272727272727272,234,82,0.0,0.0,0.0,1.0,15.0,15.0,-1.636093954042347,-0.6346673807320196,-0.008228637743348121,-0.41241506232320246,-0.9214098428314575,-1.1381213654207625,-2.4746935122516125,,-2.4746935122516125,,0.0,-2.4746935122516125
47,48,CALUMET HEIGHTS,12078,2252,0.186454711044875,17,0.001407517800960424,2901,1809,0.6235780765253361,1220,362,0.0,0.0,0.0,3.0,45.0,15.0,-0.9601556883564484,-0.6208725536459941,0.49343870181629795,-0.41241506232320246,-0.7872915859353853,-0.7068424775249623,-1.58045371091977,,-1.58045371091977,,0.0,-1.58045371091977
48,49,ROSELAND,37660,8494,0.22554434413170474,85,0.002257036643653744,8504,3404,0.4002822201317027,4892,1672,1228741.0,3689.912912912913,1.0,18.0,266.0,14.777777777777779,-0.48751148582053144,-0.6125465733043753,-0.6697390352568297,0.001375523873374491,0.2185953407851568,0.8992995877421551,-2.44912581746536,,-2.44912581746536,,0.0,-2.44912581746536
49,50,PULLMAN,6851,1422,0.20756094000875785,5,0.0007298204641658152,1645,704,0.4279635258358663,1000,328,0.0,0.0,0.0,5.0,73.0,14.6,-0.7049540921937062,-0.6275145425226979,-0.5255434418041763,-0.41241506232320246,-0.653173329039313,-0.8030710326335587,-2.120529435249537,,-2.120529435249537,,0.0,-2.120529435249537
50,51,SOUTH DEERING,15100,3621,0.23980132450331126,1,6.622516556291391e-05,3340,1126,0.33712574850299404,1712,557,0.0,0.0,0.0,8.0,112.0,14.0,-0.3151261604494794,-0.6340183198767605,-0.9987294739378902,-0.41241506232320246,-0.4519959436952046,-0.49164043610028324,-2.320644524182254,,-2.320644524182254,,0.0,-2.320644524182254
51,52,EAST SIDE,23629,5585,0.2363620974226586,146,0.006178848025731093,5612,2438,0.4344262295081967,1295,414,0.0,0.0,0.0,8.0,115.0,14.375,-0.35671086238986904,-0.5741096101321527,-0.49187836107064137,-0.41241506232320246,-0.4519959436952046,-0.6740372882833954,-1.6130725513276751,,-1.6130725513276751,,0.0,-1.6130725513276751
52,53,WEST PULLMAN,25159,5634,0.22393576851226202,0,0.0,5857,2431,0.41505890387570427,3022,980,0.0,0.0,0.0,11.0,161.0,14.636363636363637,-0.5069612447676519,-0.6346673807320196,-0.5927653294461246,-0.41241506232320246,-0.2508185583510962,0.08135686931908602,-2.4789844449391807,,-2.4789844449391807,,0.0,-2.4789844449391807
53,54,RIVERDALE,7740,2345,0.3029715762273902,0,0.0,1865,211,0.1131367292225201,998,455,0.0,0.0,0.0,4.0,54.0,13.5,0.4486838549527881,-0.6346673807320196,-2.1655179884394933,-0.41241506232320246,-0.7202324574873492,-0.8039458376800005,-2.6802031963492756,,-2.6802031963492756,,0.0,-2.6802031963492756
54,55,HEGEWISCH,8895,2011,0.22608206857785274,59,0.006632939853850478,2136,1152,0.5393258426966292,711,183,0.0,0.0,0.0,6.0,91.0,15.166666666666666,-0.4810097020491376,-0.5696591383542399,0.05455763939535852,-0.41241506232320246,-0.5861142005912768,-0.9294803618443966,-1.0651601020781016,,-1.0651601020781016,,0.0,-1.0651601020781016
55,56,GARFIELD RIDGE,36265,7016,0.19346477319729766,595,0.016407003998345514,8908,5943,0.6671531207903009,1878,459,1403940.0,4216.036036036036,1.0,6.0,91.0,15.166666666666666,-0.8753949737086728,-0.47386530561618984,0.7204268878023061,0.060375505896481135,-0.5861142005912768,-0.41903161724561505,-0.7355404689717373,,-0.7355404689717373,,0.0,-0.7355404689717373
56,57,ARCHER HEIGHTS,13875,3711,0.2674594594594595,679,0.04893693693693694,2950,1534,0.52,1016,224,0.0,0.0,0.0,9.0,117.0,13.0,0.019296450040151264,-0.15504532358706577,-0.046113238864330004,-0.41241506232320246,-0.38493681524716844,-0.7960725922620244,-0.18314139771959104,,-0.18314139771959104,,0.0,-0.18314139771959104
57,58,BRIGHTON PARK,42360,12311,0.2906279508970727,4391,0.10365911237016052,9807,3669,0.3741205261547874,1805,598,608240.0,1826.5465465465466,1.0,14.0,192.0,13.714285714285714,0.29943346578462504,0.3812768084366828,-0.8060187696394676,-0.20758427524260048,-0.049641173006987754,-0.4509620014407402,0.06842805777299216,,0.06842805777299216,,0.0,0.06842805777299216
58,59,MCKINLEY PARK,15400,3865,0.25097402597402596,4282,0.27805194805194805,3618,1818,0.5024875621890548,844,221,480425.0,1442.7177177177177,1.0,8.0,97.0,12.125,-0.18003375461727894,2.0904694109248148,-0.1373378505188343,-0.25062723040948715,-0.4519959436952046,-0.8713058262560179,1.9417804579400277,,1.9417804579400277,,0.0,1.9417804579400277
59,60,BRIDGEPORT,33012,9360,0.2835332606324973,13234,0.40088452683872533,7822,4206,0.5377141396062388,1569,454,453804.0,1362.7747747747749,1.0,14.0,195.0,13.928571428571429,0.21364948784625487,3.2943292724043514,0.046162064198435604,-0.2595921133222727,-0.049641173006987754,-0.5541889969208709,3.7990965350406523,,3.7990965350406523,,4.0,1.7990965350406523
60,61,NEW CITY,40843,9786,0.23960042112479496,991,0.024263643708836276,8902,3062,0.3439676477196136,3297,1282,0.0,0.0,0.0,13.0,135.0,10.384615384615385,-0.31755534204130154,-0.39686380253788595,-0.9630891133122963,-0.41241506232320246,-0.1167003014550239,0.20164256320483145,-2.4082661848745412,,-2.4082661848745412,,1.0,-2.9082661848745412
61,62,WEST ELSDON,18201,4343,0.23861326300752705,688,0.03780012087247953,3985,2009,0.5041405269761606,858,267,838124.0,2516.8888888888887,1.0,4.0,58.0,14.5,-0.32949135996391915,-0.2641952411179353,-0.12872733767018577,-0.13016858298750855,-0.7202324574873492,-0.8651821909309254,-0.7076327882959725,,-0.7076327882959725,,2.0,-1.7076327882959725
62,63,GAGE PARK,34650,9325,0.2691197691197691,264,0.007619047619047619,7486,2859,0.38191290408763023,2041,632,660017.0,1982.033033033033,1.0,10.0,148.0,14.8,0.03937174042767123,-0.5599944747174465,-0.7654272392961347,-0.1901478625392723,-0.3178776867991323,-0.3477350059606096,-1.446340516963705,,-1.446340516963705,,0.0,-1.446340516963705
63,64,CLEARING,24710,5725,0.23168757588021044,178,0.007203561311210037,5948,3590,0.6035642232683255,962,304,0.0,0.0,0.0,0.0,0.0,0.0,-0.41323187147070817,-0.5640665807819806,0.3891838852801365,-0.41241506232320246,-0.9884689712794937,-0.8196923285159526,-1.1693062720592962,,-1.1693062720592962,,0.0,-1.1693062720592962
64,65,WEST LAWN,32451,7781,0.23977689439462574,255,0.007858001294259037,6972,3686,0.5286861732644865,1580,416,0.0,0.0,0.0,10.0,149.0,14.9,-0.31542155204888084,-0.5576525330177661,-0.0008658100728184505,-0.41241506232320246,-0.3178776867991323,-0.549377569165441,-1.0548550750963595,,-1.0548550750963595,,0.0,-1.0548550750963595
